Title,Title_URL,Image,Image1,Price,Price2,Content,rating,cartcontrolsaddcart,Avg_price
Yopro High Protein Vanilla Greek Yoghurt Pouch 150g,https://www.woolworths.com.au/shop/productdetails/794731/yopro-high-protein-vanilla-greek-yoghurt-pouch,,https://assets.woolworths.com.au/images/1005/794731.jpg?impolicy=wowsmkqiema&w=260&h=260,,,,,, Save to list 
Chobani Blueberry Greek Yogurt Pouch 140g,https://www.woolworths.com.au/shop/productdetails/768097/chobani-blueberry-greek-yogurt-pouch-yoghurt-pouch,https://www.woolworths.com.au/content/promotiontags/roundel-special-200x200.png,https://assets.woolworths.com.au/images/1005/768097.jpg?impolicy=wowsmkqiema&w=260&h=260,$2.00,$1.43 / 100G,,, Add to cart , Save to list 
Yoplait Mango Yoghurt 1kg,https://www.woolworths.com.au/shop/productdetails/253784/yoplait-mango-yoghurt,https://www.woolworths.com.au/content/promotiontags/project-harvest-roundel-1-for-1-v2-200x200.png,https://assets.woolworths.com.au/images/1005/253784.jpg?impolicy=wowsmkqiema&w=260&h=260,$4.50,$0.45 / 100G,,, Add to cart , Save to list 
Farmers Union Greek Style Natural Yoghurt 1kg,https://www.woolworths.com.au/shop/productdetails/31547/farmers-union-greek-style-natural-yoghurt,,https://assets.woolworths.com.au/images/1005/31547.jpg?impolicy=wowsmkqiema&w=260&h=260,$6.00,$0.60 / 100G,,, Add to cart , Save to list 
Yopro High Protein Mango Greek Yoghurt 160g,https://www.woolworths.com.au/shop/productdetails/646685/yopro-high-protein-mango-greek-yoghurt,,https://assets.woolworths.com.au/images/1005/646685.jpg?impolicy=wowsmkqiema&w=260&h=260,,,,,, Save to list 
Yogo Choc Rock Custard Dessert 12x100g,https://www.woolworths.com.au/shop/productdetails/156293/yogo-choc-rock-custard-dessert-dessert,https://www.woolworths.com.au/content/promotiontags/roundel-special-200x200.png,https://assets.woolworths.com.au/images/1005/156293.jpg?impolicy=wowsmkqiema&w=260&h=260,$7.00,$0.58 / 100G,,, Add to cart , Save to list 
Pauls Zymil Lactose Free Full Cream Long Life Milk 1l,https://www.woolworths.com.au/shop/productdetails/730998/pauls-zymil-lactose-free-full-cream-long-life-milk,,https://assets.woolworths.com.au/images/1005/730998.jpg?impolicy=wowsmkqiema&w=260&h=260,$3.00,$3.00 / 1L,,, Add to cart , Save to list 
Farmers Union Greek Style Yoghurt Pouch Hint Of Real Mango 130g,https://www.woolworths.com.au/shop/productdetails/686455/farmers-union-greek-style-yoghurt-pouch-hint-of-real-mango,,https://assets.woolworths.com.au/images/1005/686455.jpg?impolicy=wowsmkqiema&w=260&h=260,$2.00,$1.54 / 100G,,, Add to cart , Save to list 
Tamar Valley Dairy Yoghurt Strawberry & Cream 170g,https://www.woolworths.com.au/shop/productdetails/167552/tamar-valley-dairy-yoghurt-strawberry-cream,https://www.woolworths.com.au/content/promotiontags/roundel-special-200x200.png,https://assets.woolworths.com.au/images/1005/167552.jpg?impolicy=wowsmkqiema&w=260&h=260,$2.20,$1.29 / 100G,,, Add to cart , Save to list 
Woolworths Uht Skim Milk 1l,https://www.woolworths.com.au/shop/productdetails/748597/woolworths-uht-skim-milk,,https://assets.woolworths.com.au/images/1005/748597.jpg?impolicy=wowsmkqiema&w=260&h=260,$1.60,$1.60 / 1L,4.2,323, Add to cart , Save to list 
